group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
knn search,vptree,256,,,1355500.0,ns,2
knn search,vptree,256,,,2495400.0,ns,4
knn search,vptree,256,,,3887600.0,ns,6
knn search,vptree,256,,,5251800.0,ns,8
knn search,vptree,256,,,6575000.0,ns,10
knn search,vptree,256,,,7771500.0,ns,12
knn search,vptree,256,,,8858500.0,ns,14
knn search,vptree,256,,,10056800.0,ns,16
knn search,vptree,256,,,11122200.0,ns,18
knn search,vptree,256,,,12593900.0,ns,20
knn search,vptree,256,,,14135100.0,ns,22
knn search,vptree,256,,,15182400.0,ns,24
knn search,vptree,256,,,16651900.0,ns,26
knn search,vptree,256,,,17831400.0,ns,28
knn search,vptree,256,,,19179200.0,ns,30
knn search,vptree,256,,,20130800.0,ns,32
knn search,vptree,256,,,30232000.0,ns,34
knn search,vptree,256,,,22661100.0,ns,36
knn search,vptree,256,,,24859100.0,ns,38
knn search,vptree,256,,,25638900.0,ns,40
knn search,vptree,256,,,26065600.0,ns,42
knn search,vptree,256,,,28096600.0,ns,44
knn search,vptree,256,,,29137200.0,ns,46
knn search,vptree,256,,,30429800.0,ns,48
knn search,vptree,256,,,31258400.0,ns,50
knn search,vptree,256,,,33381800.0,ns,52
knn search,vptree,256,,,34691600.0,ns,54
knn search,vptree,256,,,35902200.0,ns,56
knn search,vptree,256,,,36335700.0,ns,58
knn search,vptree,256,,,38103900.0,ns,60
knn search,vptree,256,,,39743900.0,ns,62
knn search,vptree,256,,,41114400.0,ns,64
knn search,vptree,256,,,41546100.0,ns,66
knn search,vptree,256,,,43150500.0,ns,68
knn search,vptree,256,,,44598000.0,ns,70
knn search,vptree,256,,,45617000.0,ns,72
knn search,vptree,256,,,46519500.0,ns,74
knn search,vptree,256,,,47535700.0,ns,76
knn search,vptree,256,,,49551900.0,ns,78
knn search,vptree,256,,,51000900.0,ns,80
knn search,vptree,256,,,52231200.0,ns,82
knn search,vptree,256,,,53428500.0,ns,84
knn search,vptree,256,,,54313500.0,ns,86
knn search,vptree,256,,,56505200.0,ns,88
knn search,vptree,256,,,56704100.0,ns,90
knn search,vptree,256,,,57871700.0,ns,92
knn search,vptree,256,,,59389000.0,ns,94
knn search,vptree,256,,,63297700.0,ns,96
knn search,vptree,256,,,63022800.0,ns,98
knn search,vptree,256,,,63006400.0,ns,100
knn search,vptree,256,,,64626500.0,ns,102
knn search,vptree,256,,,65710300.0,ns,104
knn search,vptree,256,,,67041100.0,ns,106
knn search,vptree,256,,,67896300.0,ns,108
knn search,vptree,256,,,69561000.0,ns,110
knn search,vptree,256,,,70251500.0,ns,112
knn search,vptree,256,,,71509500.0,ns,114
knn search,vptree,256,,,73178500.0,ns,116
knn search,vptree,256,,,75336900.0,ns,118
knn search,vptree,256,,,75715000.0,ns,120
knn search,vptree,256,,,76892900.0,ns,122
knn search,vptree,256,,,80080000.0,ns,124
knn search,vptree,256,,,79563100.0,ns,126
knn search,vptree,256,,,81106300.0,ns,128
knn search,vptree,256,,,82580500.0,ns,130
knn search,vptree,256,,,83627100.0,ns,132
knn search,vptree,256,,,83836900.0,ns,134
knn search,vptree,256,,,85802700.0,ns,136
knn search,vptree,256,,,87113000.0,ns,138
knn search,vptree,256,,,88604700.0,ns,140
knn search,vptree,256,,,90400400.0,ns,142
knn search,vptree,256,,,92668600.0,ns,144
knn search,vptree,256,,,91862700.0,ns,146
knn search,vptree,256,,,97586100.0,ns,148
knn search,vptree,256,,,94950400.0,ns,150
knn search,vptree,256,,,97197500.0,ns,152
knn search,vptree,256,,,96853000.0,ns,154
knn search,vptree,256,,,98653600.0,ns,156
knn search,vptree,256,,,100378100.0,ns,158
knn search,vptree,256,,,100114400.0,ns,160
knn search,vptree,256,,,101128400.0,ns,162
knn search,vptree,256,,,104268600.0,ns,164
knn search,vptree,256,,,105367800.0,ns,166
knn search,vptree,256,,,109761300.0,ns,168
knn search,vptree,256,,,107915700.0,ns,170
knn search,vptree,256,,,109239900.0,ns,172
knn search,vptree,256,,,110215300.0,ns,174
knn search,vptree,256,,,112440900.0,ns,176
knn search,vptree,256,,,113614700.0,ns,178
knn search,vptree,256,,,114838900.0,ns,180
knn search,vptree,256,,,116426700.0,ns,182
knn search,vptree,256,,,115622000.0,ns,184
knn search,vptree,256,,,119640600.0,ns,186
knn search,vptree,256,,,119016200.0,ns,188
knn search,vptree,256,,,118566200.0,ns,190
knn search,vptree,256,,,120338900.0,ns,192
knn search,vptree,256,,,121951900.0,ns,194
knn search,vptree,256,,,124670200.0,ns,196
knn search,vptree,256,,,125391800.0,ns,198
knn search,vptree,256,,,127972700.0,ns,200
